,Atelectasis_auc,Cardiomegaly_auc,Consolidation_auc,Edema_auc,Enlarged Cardiomediastinum_auc,Fracture_auc,Lung Lesion_auc,Lung Opacity_auc,No Finding_auc,Pleural Effusion_auc,Pleural Other_auc,Pneumonia_auc,Pneumothorax_auc,Support Devices_auc,epoch
0,0.48379197980825384,0.557116833336496,0.5098469873343583,0.5432008749544295,0.496551503416492,0.3854545454545455,0.684451219512195,0.4470820493066256,0.6089077920164973,0.4898018648018647,0.8835685483870968,0.5302100762223462,0.4507807196198235,0.4627037945462415,1
1,0.5865589271251248,0.6867872255640525,0.6009224687019548,0.6460080204156033,0.6051751452209118,0.35838383838383836,0.5805386178861789,0.5095980996404725,0.4174399764324642,0.5852758352758353,0.5710685483870968,0.5545640453615913,0.5326997058157954,0.5350518604017378,2
2,0.6677968017178052,0.7643219036414354,0.6628596529760598,0.7198019200388869,0.681442127666384,0.4076767676767677,0.44385162601626016,0.6618034155110426,0.31832744144940345,0.6416326728826728,0.2620967741935484,0.5833798103736754,0.5566870332654447,0.5876817518716235,3
3,0.6208302725509032,0.7446061595096681,0.6520975181199209,0.7262121764491433,0.753548510985582,0.46545454545454545,0.4789126016260163,0.6562018489984591,0.2782442185888938,0.6795357420357421,0.34122983870967744,0.5396913924521287,0.5689069925322471,0.5967392872601356,4
4,0.6575879150891866,0.7287424808819902,0.6753788710740172,0.7312249362012396,0.7452273127330334,0.4864646464646465,0.5287093495934959,0.6537300975860298,0.26822801590808665,0.6820367132867133,0.37651209677419356,0.5646030860754787,0.5646073772346685,0.6048189294474102,5
5,0.6460605375675728,0.685838440957134,0.697269199795007,0.7312249362012395,0.7333376006144884,0.4731313131313131,0.5114329268292682,0.5978428351309708,0.2194726763882752,0.6749951437451437,0.42993951612903225,0.5417363822271798,0.5406200497850192,0.610189326536174,6
6,0.6441769791490084,0.7104878650448775,0.6625668057690901,0.7294324948353385,0.6894992878974573,0.4856565656565657,0.40472560975609756,0.6561055469953775,0.25913242009132414,0.6427738927738927,0.3689516129032258,0.4525004647704034,0.5231952930527268,0.6175475720995848,7
7,0.6630125633346519,0.6998330139091822,0.6774288015228055,0.7174930125167092,0.6864668512265766,0.5236363636363637,0.3709349593495935,0.6329770159219312,0.21092944468993963,0.672809829059829,0.3251008064516129,0.524818739542666,0.6433582258429509,0.617635742798057,8
8,0.6612796895895727,0.690810072297387,0.6994655538472803,0.7152144853566655,0.7402345937815046,0.5260606060606061,0.3579776422764228,0.6503354519774012,0.2386212991604065,0.6559343434343434,0.2313508064516129,0.5649749023982154,0.5634758995247793,0.6322800942624922,9
9,0.6600177054491345,0.6193001764739369,0.6868731239475804,0.6860797180702395,0.6062633019154757,0.5765656565656566,0.36128048780487804,0.7490851309707243,0.2352150537634409,0.6616890054390053,0.2721774193548387,0.6179587283881762,0.5412989364109527,0.6184934032286507,10
10,0.6101034073571792,0.6811799085371639,0.7098616296947069,0.7138473690606392,0.5492950984941831,0.6452525252525253,0.2621951219512195,0.6283545197740112,0.45463249373987336,0.694493006993007,0.25705645161290325,0.6361777282022681,0.5569133288074224,0.6215713621571362,11
11,0.6638036578704489,0.5434638228429381,0.689801596017278,0.6979888200267348,0.47662063337120547,0.6630303030303031,0.25914634146341464,0.5251669234720082,0.3019222271321255,0.6702117327117326,0.23387096774193547,0.6296709425543782,0.5177642000452591,0.6148543580371599,12
12,0.6250494434084873,0.5603521888460882,0.6491690460502233,0.6812492404909467,0.6212894656830584,0.48323232323232324,0.264989837398374,0.7352015921931176,0.2919060244513183,0.6717657342657342,0.2661290322580645,0.6319018404907976,0.5322471147318397,0.6352458359383768,13
